,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2023-03-18 23:59,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,73,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
1,2023-03-18 23:57,Dance Fruits Music,Hello,158181,2uV2Jnqoa5oRnoGfNt19SP,Dance Fruits Music,73,Black Beatles,53,lo-fi product,,,,,,,,,0.779,0.794,-7.247,0.0586,0.081,1.75e-05,0.0681,0.494,125.022,140225,4
2,2023-03-18 23:29,Dance Fruits Music,Better Off Alone,155559,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,73,Better Off Alone,60,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
3,2023-03-18 23:26,Alesso,When I’m Gone (with Katy Perry),161266,5902W4uHWzhtOff1UK7the,Alesso,75,When I’m Gone (with Katy Perry),78,dance pop,edm,pop,pop dance,progressive electro house,tropical house,,,,0.685,0.886,-4.179,0.034,0.028,0,0.481,0.615,125.034,161267,4
4,2023-03-18 23:24,Tiësto,Don't Be Shy,140500,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,84,Don't Be Shy,80,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
5,2023-03-18 23:21,Dance Fruits Music,SUMMER JAM,142080,6FhhABinxDtRNKsicIv1EF,Dance Fruits Music,73,SUMMER JAM,54,lo-fi product,,,,,,,,,0.665,0.896,-6.446,0.0439,0.0989,4.8e-06,0.423,0.202,125.02,142080,4
6,2023-03-18 23:19,Dance Fruits Music,STAY,122056,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,64,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
7,2023-03-18 23:17,Dance Fruits Music,The Rhythm Of The Night,148062,46tcH6oyF61incTXuv4eHm,Dance Fruits Music,73,Dance Fruits Music,48,lo-fi product,,,,,,,,,0.751,0.967,-3.145,0.0791,0.00407,0.675,0.0859,0.391,126.969,148062,4
8,2023-03-18 23:15,ATB,Your Love (9PM),150052,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),79,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,4
9,2023-03-18 23:12,Shouse,Love Tonight (David Guetta Remix Edit),158095,6OufwUcCqo81guU2jAlDVP,Shouse,69,Love Tonight,76,aussietronica,,,,,,,,,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
10,2023-03-18 23:09,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
11,2023-03-18 23:07,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
12,2023-03-18 23:04,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,169153,4cG7HUWYHBV6R6tHn1gxrl,Riton,67,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],81,house,pop dance,uk dance,,,,,,,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
13,2023-03-18 23:02,Dance Fruits Music,Freed From Desire,144065,3u5N55tHf7hXATSQrjBh2q,Gala,62,Come Into My Life (The Album),80,eurodance,hip house,italo dance,,,,,,,0.704,0.861,-4.221,0.0493,0.587,0.0615,0.0992,0.636,128.99,213394,4
14,2023-03-18 22:59,Dance Fruits Music,One More Time,132682,0DiWol3AO6WpXZgp0goxAV,Daft Punk,82,Discovery,79,electro,filter house,rock,,,,,,,0.613,0.697,-8.618,0.133,0.0194,0,0.332,0.476,122.746,320357,4
15,2023-03-18 22:57,Dance Fruits Music,Cola,120983,0OXn0cXGNw2N3dHSeQeHzA,Dance Fruits Music,73,Cola,54,lo-fi product,,,,,,,,,0.713,0.729,-7.725,0.0517,0.149,0.012,0.084,0.423,122.072,120984,4
16,2023-03-18 22:55,Dance Fruits Music,Rise Up,111072,0tV8pOpiNsKqUys0ilUcXz,Andra Day,56,Cheers to the Fall,74,r&b,,,,,,,,,0.398,0.316,-7.031,0.0368,0.805,0,0.295,0.174,118.582,253342,4
17,2023-03-18 22:53,Dance Fruits Music,Cha Cha Slide,127059,1vvBUZseJ7fwYPX1NedOLd,Freddie Dredd,75,Cha Cha,70,aesthetic rap,meme rap,phonk,,,,,,,0.792,0.698,-6.364,0.172,0.489,0.0788,0.127,0.751,129.971,173938,4
18,2023-03-18 22:51,Dance Fruits Music,Cups,136567,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
19,2023-03-18 22:49,Dance Fruits Music,Put Your Hands Up 4 Detroit (feat. Tny),114076,3fbGgsysR0OKzsdr20HD4T,Fedde Le Grand,59,Put Your Hands Up For Detroit,39,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house,,,0.908,0.931,-5.93,0.174,0.00151,0.798,0.0626,0.265,128.016,393333,4
20,2023-03-18 22:47,Dance Fruits Music,Cups,371,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
21,2023-03-18 22:47,Dance Fruits Music,Cups,766,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
22,2023-03-18 22:47,Dance Fruits Music,Cha Cha Slide,87294,1vvBUZseJ7fwYPX1NedOLd,Freddie Dredd,75,Cha Cha,70,aesthetic rap,meme rap,phonk,,,,,,,0.792,0.698,-6.364,0.172,0.489,0.0788,0.127,0.751,129.971,173938,4
