,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,18/03/2023 23:59,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,76,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
1,18/03/2023 23:57,Dance Fruits Music,Hello,158181,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,76,Better Off Alone,62,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
2,18/03/2023 23:29,Dance Fruits Music,Better Off Alone,155559,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,76,Better Off Alone,62,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
3,18/03/2023 23:26,Alesso,When I’m Gone (with Katy Perry),161266,5902W4uHWzhtOff1UK7the,Alesso,76,When I’m Gone (with Katy Perry),78,dance pop,edm,pop,pop dance,tropical house,,,,,0.685,0.886,-4.179,0.034,0.028,0,0.481,0.615,125.034,161267,4
4,18/03/2023 23:24,Tiësto,Don't Be Shy,140500,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,85,Don't Be Shy,81,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
5,18/03/2023 23:21,Dance Fruits Music,SUMMER JAM,142080,6FhhABinxDtRNKsicIv1EF,Dance Fruits Music,76,SUMMER JAM,56,lo-fi product,,,,,,,,,0.665,0.896,-6.446,0.0439,0.0989,4.80E-06,0.423,0.202,125.02,142080,4
6,18/03/2023 23:19,Dance Fruits Music,STAY,122056,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,63,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
7,18/03/2023 23:17,Dance Fruits Music,The Rhythm Of The Night,148062,1BXfDqPvs6SJbAcOEK40Z3,MELON,73,The Rhythm of the Night,66,lo-fi cover,slap house,,,,,,,,0.637,0.917,-5.155,0.0517,0.0032,0.566,0.294,0.104,128.018,189375,4
8,18/03/2023 23:15,ATB,Your Love (9PM),150052,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),78,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28E-06,0.115,0.517,125.993,150053,4
9,18/03/2023 23:12,Shouse,Love Tonight (David Guetta Remix Edit),158095,2prnn41CblB8B4yWACDljP,Shouse,69,Love Tonight (David Guetta Remix),80,aussietronica,,,,,,,,,0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,4
